epoch,loss,loss_den,loss_conn
0,0.9868219403120188,0.28466111689041823,0.7021608204923124
1,0.9782240258322822,0.27931512497429156,0.6989089041693598
2,0.9453654503210996,0.265322980335635,0.6800424736789149
3,0.877982152832879,0.23697255303462347,0.641009601772341
4,0.8469810735466133,0.2212194165803938,0.6257616566796588
5,0.839384460551107,0.21696312801960188,0.6224213298569378
6,0.8299060204090216,0.21204994663468793,0.6178560730738517
7,0.8215912351241479,0.20839847105308476,0.6131927666501102
8,0.8146243915598617,0.20529804725804898,0.6093263437605312
9,0.8077706572337028,0.20216660723726973,0.6056040494869916
10,0.8010045106594379,0.1998621038455739,0.601142406463623
11,0.7943512934904832,0.19705672530282256,0.5972945700343858
12,0.7874790399502485,0.19458274205780438,0.5928962987202865
13,0.7824687769270351,0.1930510598497513,0.5894177151031983
14,0.7767688407857194,0.1913832627937325,0.58538557550846
15,0.7704184697224543,0.18974361555953312,0.5806748518067547
16,0.766586175841144,0.1886084591731047,0.5779777176869221
17,0.7597206535502377,0.185747267312219,0.5739733864608992
18,0.756319251580116,0.1850341119700008,0.5712851408200387
19,0.7518967099678822,0.18443396213090318,0.5674627428380852
20,0.7482128313973418,0.18332018489893684,0.5648926463392046
21,0.7410823937155243,0.1811627798164502,0.5599196092185811
22,0.7381466509949448,0.18079171772313934,0.5573549347046094
23,0.7333721472666814,0.1794525092929347,0.5539196370503842
24,0.7317596505849789,0.17993099946114752,0.5518286516014327
25,0.7213788524142697,0.17608564805526,0.5452932032764467
26,0.7236873685804188,0.17779125757197028,0.5458961116452502
27,0.7153614000377492,0.17485208994048274,0.5405093077411
28,0.7131034629976648,0.1749484000297693,0.5381550605480487
29,0.7121039091521858,0.17504848468189055,0.5370554254095778
30,0.6914767235772222,0.16655347249510452,0.5249232491876326
31,0.6634217971919948,0.15704240831427085,0.5063793885911632
32,0.6454179174879677,0.1518652334045141,0.49355268554809767
33,0.6342968803185683,0.14908935241082794,0.48520752787590027
34,0.6248542569641374,0.14715837219204658,0.477695884103449
35,0.615873258592736,0.1447931654814981,0.471080094957963
36,0.6085830218771584,0.14397750078485563,0.4646055209331023
37,0.6004882926105434,0.142562502851853,0.45792579052285254
38,0.5977254565964397,0.14351624478068617,0.45420921116303176
39,0.5980755244819527,0.14588500132672808,0.4521905252566704
40,0.5955267134639952,0.14372691301963267,0.4517998025458083
41,0.6005039904107395,0.14711952416433227,0.45338446946225613
42,0.5792951464143574,0.1391424339455672,0.44015271159318775
43,0.6050440052635649,0.1537548823711964,0.45128912408637184
44,0.5813186149566602,0.14298279656686336,0.43833581988628095
45,0.5896164768526697,0.14900089230420244,0.4406155859812712
46,0.5821512342772932,0.14482619549728867,0.4373250378248019
47,0.5736559065233948,0.14315328049736145,0.430502625548432
48,0.5722135916734353,0.14349659271219856,0.4287170001711601
49,0.569011003543169,0.14297674515117437,0.42603425624278873
50,0.574492158033909,0.1468127701176792,0.42767938608542466
51,0.5637727317392317,0.1424484811245631,0.4213242519997124
52,0.5711265252186701,0.14566437508433294,0.4254621524586637
53,0.5534690590495737,0.13926696573567188,0.4142020917218974
54,0.5459222372016336,0.13861330993409848,0.40730892752225584
55,0.5420372917866095,0.13683154464213768,0.405205751522484
56,0.5512846197582718,0.14037930914479443,0.41090531214180154
57,0.5470968603323667,0.14144781306704396,0.4056490489687675
58,0.5378896985043827,0.13878365706365842,0.39910603938703865
59,0.5118663822993254,0.1266865010699655,0.385179879828396
60,0.5531578761899573,0.14540190948571405,0.4077559627401523
61,0.5287803086714867,0.13641039027362808,0.3923699166148137
62,0.5366806827294521,0.14015385215608483,0.39652682987288534
63,0.5142638116565525,0.13175162660260487,0.38251218454450625
64,0.5170492685248709,0.13400893594719407,0.38304033359655965
65,0.5295309412937897,0.14014149054439148,0.38938944965091526
66,0.515910607499954,0.13449751641442123,0.3814130906875317
